"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00417588","RICHARDSON, TX US","2020-09-20","0.00","80","57"
"USC00417588","RICHARDSON, TX US","2020-09-21","0.17","74","57"
"USC00417588","RICHARDSON, TX US","2020-09-22","0.30","69","64"
"USC00417588","RICHARDSON, TX US","2020-09-23","0.01","71","61"
"USC00417588","RICHARDSON, TX US","2020-09-24","0.00","78","61"
"USC00417588","RICHARDSON, TX US","2020-09-25","0.00","82","59"
"USC00417588","RICHARDSON, TX US","2020-09-26","0.00","86","64"
"USC00417588","RICHARDSON, TX US","2020-09-27","0.05","87","63"
"USC00417588","RICHARDSON, TX US","2020-09-28","0.00","87","57"
"USC00417588","RICHARDSON, TX US","2020-09-29","0.00","83","54"
"USC00417588","RICHARDSON, TX US","2020-09-30","0.00",,
"USC00417588","RICHARDSON, TX US","2020-10-01","0.00","78","58"
"USC00417588","RICHARDSON, TX US","2020-10-02","0.00","75","53"
"USC00417588","RICHARDSON, TX US","2020-10-03","0.00","80","57"
"USC00417588","RICHARDSON, TX US","2020-10-04","0.00","76","59"
"USC00417588","RICHARDSON, TX US","2020-10-05","0.00","78","53"
"USC00417588","RICHARDSON, TX US","2020-10-06","0.00","85","58"
"USC00417588","RICHARDSON, TX US","2020-10-07","0.00","86","62"
"USC00417588","RICHARDSON, TX US","2020-10-08","0.00","86","60"
"USC00417588","RICHARDSON, TX US","2020-10-09","0.00","82","69"
"USC00417588","RICHARDSON, TX US","2020-10-10","0.00","87","61"
"USC00417588","RICHARDSON, TX US","2020-10-11","0.00","94","68"
"USC00417588","RICHARDSON, TX US","2020-10-12","0.00","94","56"
"USC00417588","RICHARDSON, TX US","2020-10-13","0.00","82","49"
"USC00417588","RICHARDSON, TX US","2020-10-14","0.00","89","58"
"USC00417588","RICHARDSON, TX US","2020-10-15","0.00","76","63"
"USC00417588","RICHARDSON, TX US","2020-10-16","0.00","70","53"
"USC00417588","RICHARDSON, TX US","2020-10-17","0.00","73","51"
"USC00417588","RICHARDSON, TX US","2020-10-18","0.00","85","65"
"USC00417588","RICHARDSON, TX US","2020-10-19","0.00","95","55"
"USC00417588","RICHARDSON, TX US","2020-10-20","0.00","85","59"
"USC00417588","RICHARDSON, TX US","2020-10-21","0.00","86","59"
"USC00417588","RICHARDSON, TX US","2020-10-22","0.00","84","67"
"USC00417588","RICHARDSON, TX US","2020-10-23","1.50","76","48"
"USC00417588","RICHARDSON, TX US","2020-10-24","0.00","60","42"
"USC00417588","RICHARDSON, TX US","2020-10-25","1.70","60","51"
"USC00417588","RICHARDSON, TX US","2020-10-26","0.27","54","38"
"USC00417588","RICHARDSON, TX US","2020-10-27","0.07","41","37"
"USC00417588","RICHARDSON, TX US","2020-10-28","0.40","44","38"
"USC00417588","RICHARDSON, TX US","2020-10-29","0.00","60","38"
"USC00417588","RICHARDSON, TX US","2020-10-30","0.00","67","39"
"USC00417588","RICHARDSON, TX US","2020-10-31","0.00","70","43"
"USC00417588","RICHARDSON, TX US","2020-11-01","0.00","71","48"
"USC00417588","RICHARDSON, TX US","2020-11-02","0.00","71","38"
"USC00417588","RICHARDSON, TX US","2020-11-03","0.00","70","43"
"USC00417588","RICHARDSON, TX US","2020-11-04","0.00","74","47"
"USC00417588","RICHARDSON, TX US","2020-11-05","0.00","75","57"
"USC00417588","RICHARDSON, TX US","2020-11-06","0.00","75","59"
"USC00417588","RICHARDSON, TX US","2020-11-07","0.00","76","50"
"USC00417588","RICHARDSON, TX US","2020-11-08","0.00","74","60"
"USC00417588","RICHARDSON, TX US","2020-11-09","0.00","80","60"
"USC00417588","RICHARDSON, TX US","2020-11-10","0.00","74","54"
"USC00417588","RICHARDSON, TX US","2020-11-11","0.00","74","54"
